,query_id
0,DEN070001
1,K120577
2,DEN130033
3,DEN130039
4,DEN130046
5,DEN130047
6,DEN130051
7,K130238
8,K131335
9,K131950
10,K132058
11,K132172
12,K132220
13,K132663
14,K132868
15,K132929
16,K133002
17,K133019
18,K133033
19,K133070
20,K133075
21,K133080
22,K133088
23,K133130
24,K133178
25,K133187
26,K133239
27,K133268
28,K133279
29,K133412
30,K133659
31,K133697
32,K133729
33,K133733
34,K133788
35,K133789
36,K133838
37,K133891
38,K133959
39,K133985
40,K133995
41,K134036
42,K134046
43,K134051
44,DEN140017
45,DEN140018
46,DEN140020
47,K140021
48,DEN140022
49,DEN140024
50,DEN140030
51,DEN140032
52,DEN140033
53,K140037
54,DEN140038
55,DEN140039
56,DEN140040
57,DEN140044
58,K140045
59,K140046
60,K140068
61,K140110
62,K140150
63,K140213
64,K140233
65,K140237
66,K140264
67,K140265
68,K140310
69,K140325
70,K140348
71,K140356
72,K140359
73,K140360
74,K140386
75,K140432
76,K140453
77,K140471
78,K140477
79,K140491
80,K140506
81,K140547
82,K140575
83,K140579
84,K140580
85,K140587
86,K140654
87,K140671
88,K140706
89,K140722
90,K140736
91,K140740
92,K140762
93,K140790
94,K140806
95,K140820
96,K140827
97,K140828
98,K140836
99,K140852
100,K140861
101,K140881
102,K140893
103,K140898
104,K140900
105,K140905
106,K140907
107,K140913
108,K140932
109,K140939
110,K140943
111,K140949
112,K140954
113,K140957
114,K140980
115,K140984
116,K140990
117,K141017
118,K141024
119,K141036
120,K141042
121,K141047
122,K141057
123,K141070
124,K141084
125,K141085
126,K141087
127,K141110
128,K141114
129,K141123
130,K141132
131,K141133
132,K141142
133,K141146
134,K141157
135,K141159
136,K141164
137,K141168
138,K141177
139,K141181
140,K141183
141,K141186
142,K141187
143,K141188
144,K141189
145,K141205
146,K141206
147,K141210
148,K141222
149,K141224
150,K141227
151,K141237
152,K141246
153,K141253
154,K141274
155,K141275
156,K141278
157,K141285
158,K141289
159,K141292
160,K141316
161,K141320
162,K141322
163,K141324
164,K141328
165,K141332
166,K141348
167,K141349
168,K141351
169,K141354
170,K141362
171,K141375
172,K141379
173,K141382
174,K141385
175,K141398
176,K141400
177,K141401
178,K141410
179,K141421
180,K141427
181,K141429
182,K141434
183,K141441
184,K141448
185,K141455
186,K141460
187,K141465
188,K141467
189,K141468
190,K141482
191,K141488
192,K141492
193,K141493
194,K141504
195,K141506
196,K141511
197,K141515
198,K141516
199,K141518
200,K141524
201,K141527
202,K141531
203,K141536
204,K141548
205,K141549
206,K141559
207,K141561
208,K141576
209,K141587
210,K141588
211,K141594
212,K141595
213,K141596
214,K141599
215,K141608
216,K141615
217,K141619
218,K141622
219,K141624
220,K141634
221,K141637
222,K141643
223,K141655
224,K141656
225,K141657
226,K141665
227,K141666
228,K141680
229,K141683
230,K141685
231,K141687
232,K141689
233,K141694
234,K141707
235,K141715
236,K141717
237,K141720
238,K141722
239,K141725
240,K141737
241,K141738
242,K141740
243,K141747
244,K141748
245,K141751
246,K141757
247,K141767
248,K141770
249,K141777
250,K141781
251,K141783
252,K141785
253,K141789
254,K141790
255,K141793
256,K141798
257,K141803
258,K141812
259,K141825
260,K141826
261,K141827
262,K141830
263,K141833
264,K141837
265,K141847
266,K141851
267,K141852
268,K141854
269,K141857
270,K141861
271,K141863
272,K141867
273,K141874
274,K141875
275,K141876
276,K141879
277,K141880
278,K141883
279,K141886
280,K141888
281,K141892
282,K141900
283,K141902
284,K141907
285,K141910
286,K141911
287,K141913
288,K141914
289,K141919
290,K141921
291,K141922
292,K141923
293,K141929
294,K141932
295,K141933
296,K141934
297,K141938
298,K141943
299,K141944
300,K141945
301,K141946
302,K141960
303,K141961
304,K141963
305,K141965
306,K141970
307,K141975
308,K141980
309,K141981
310,K141982
311,K141984
312,K141986
313,K141991
314,K141997
315,K141999
316,K142001
317,K142005
318,K142024
319,K142025
320,K142030
321,K142032
322,K142034
323,K142038
324,K142040
325,K142055
326,K142056
327,K142057
328,K142058
329,K142059
330,K142061
331,K142064
332,K142068
333,K142073
334,K142075
335,K142083
336,K142087
337,K142094
338,K142103
339,K142104
340,K142106
341,K142107
342,K142109
343,K142117
344,K142119
345,K142125
346,K142128
347,K142129
348,K142130
349,K142136
350,K142141
351,K142144
352,K142149
353,K142152
354,K142153
355,K142155
356,K142156
357,K142159
358,K142162
359,K142163
360,K142167
361,K142172
362,K142174
363,K142178
364,K142186
365,K142190
366,K142192
367,K142196
368,K142201
369,K142205
370,K142206
371,K142207
372,K142208
373,K142209
374,K142211
375,K142212
376,K142216
377,K142217
378,K142218
379,K142222
380,K142228
381,K142229
382,K142233
383,K142236
384,K142237
385,K142242
386,K142244
387,K142246
388,K142247
389,K142248
390,K142249
391,K142253
392,K142256
393,K142260
394,K142262
395,K142263
396,K142269
397,K142273
398,K142276
399,K142282
400,K142283
401,K142284
402,K142291
403,K142293
404,K142294
405,K142296
406,K142297
407,K142298
408,K142313
409,K142316
410,K142319
411,K142321
412,K142327
413,K142330
414,K142332
415,K142335
416,K142337
417,K142338
418,K142341
419,K142344
420,K142345
421,K142348
422,K142349
423,K142350
424,K142351
425,K142352
426,K142355
427,K142357
428,K142358
429,K142360
430,K142363
431,K142366
432,K142368
433,K142369
434,K142371
435,K142374
436,K142385
437,K142392
438,K142398
439,K142402
440,K142410
441,K142416
442,K142417
443,K142420
444,K142421
445,K142422
446,K142426
447,K142432
448,K142435
449,K142436
450,K142438
451,K142439
452,K142445
453,K142446
454,K142447
455,K142448
456,K142449
457,K142451
458,K142454
459,K142456
460,K142458
461,K142459
462,K142464
463,K142465
464,K142468
465,K142469
466,K142472
467,K142473
468,K142475
469,K142476
470,K142478
471,K142479
472,K142480
473,K142482
474,K142486
475,K142487
476,K142491
477,K142494
478,K142498
479,K142500
480,K142503
481,K142504
482,K142505
483,K142506
484,K142511
485,K142512
486,K142516
487,K142518
488,K142519
489,K142529
490,K142530
491,K142531
492,K142535
493,K142539
494,K142541
495,K142543
496,K142545
497,K142548
498,K142549
499,K142551
500,K142552
501,K142553
502,K142554
503,K142557
504,K142559
505,K142561
506,K142567
507,K142568
508,K142569
509,K142572
510,K142576
511,K142577
512,K142581
513,K142583
514,K142584
515,K142586
516,K142590
517,K142592
518,K142595
519,K142596
520,K142597
521,K142598
522,K142599
523,K142606
524,K142617
525,K142622
526,K142623
527,K142624
528,K142625
529,K142626
530,K142629
531,K142634
532,K142635
533,K142641
534,K142642
535,K142645
536,K142646
537,K142647
538,K142648
539,K142649
540,K142651
541,K142655
542,K142656
543,K142657
544,K142664
545,K142666
546,K142667
547,K142675
548,K142677
549,K142678
550,K142679
551,K142680
552,K142685
553,K142687
554,K142689
555,K142692
556,K142693
557,K142703
558,K142705
559,K142706
560,K142709
561,K142710
562,K142711
563,K142712
564,K142714
565,K142716
566,K142717
567,K142719
568,K142722
569,K142723
570,K142724
571,K142726
572,K142729
573,K142731
574,K142732
575,K142734
576,K142736
577,K142740
578,K142741
579,K142743
580,K142744
581,K142745
582,K142749
583,K142750
584,K142751
585,K142752
586,K142754
587,K142759
588,K142760
589,K142761
590,K142764
591,K142765
592,K142766
593,K142767
594,K142768
595,K142769
596,K142770
597,K142773
598,K142774
599,K142775
600,K142776
